count,sensor,date,time,day,month,high_tmp,low_tmp,high_prcp
835,Flinders Street Station Underpass,2013-01-08,7,Tues,Jan,not,not,none
272,Melbourne Central,2013-01-08,7,Tues,Jan,not,not,none
2157,Flinders Street Station Underpass,2013-01-08,8,Tues,Jan,not,not,none
638,Melbourne Central,2013-01-08,8,Tues,Jan,not,not,none
1008,Flinders Street Station Underpass,2013-01-08,9,Tues,Jan,not,not,none
645,Melbourne Central,2013-01-08,9,Tues,Jan,not,not,none
758,Flinders Street Station Underpass,2013-01-08,10,Tues,Jan,not,not,none
868,Melbourne Central,2013-01-08,10,Tues,Jan,not,not,none
1051,Flinders Street Station Underpass,2013-01-08,11,Tues,Jan,not,not,none
631,Melbourne Central,2013-01-08,11,Tues,Jan,not,not,none
1973,Flinders Street Station Underpass,2013-01-08,12,Tues,Jan,not,not,none
1997,Melbourne Central,2013-01-08,12,Tues,Jan,not,not,none
2248,Flinders Street Station Underpass,2013-01-08,13,Tues,Jan,not,not,none
2330,Melbourne Central,2013-01-08,13,Tues,Jan,not,not,none
1674,Flinders Street Station Underpass,2013-01-08,14,Tues,Jan,not,not,none
2546,Melbourne Central,2013-01-08,14,Tues,Jan,not,not,none
1394,Flinders Street Station Underpass,2013-01-08,15,Tues,Jan,not,not,none
2241,Melbourne Central,2013-01-08,15,Tues,Jan,not,not,none
1697,Flinders Street Station Underpass,2013-01-08,16,Tues,Jan,not,not,none
2295,Melbourne Central,2013-01-08,16,Tues,Jan,not,not,none
2314,Flinders Street Station Underpass,2013-01-08,17,Tues,Jan,not,not,none
2287,Melbourne Central,2013-01-08,17,Tues,Jan,not,not,none
1458,Flinders Street Station Underpass,2013-01-08,18,Tues,Jan,not,not,none
2022,Melbourne Central,2013-01-08,18,Tues,Jan,not,not,none
870,Flinders Street Station Underpass,2013-01-08,19,Tues,Jan,not,not,none
1401,Melbourne Central,2013-01-08,19,Tues,Jan,not,not,none
589,Flinders Street Station Underpass,2013-01-08,20,Tues,Jan,not,not,none
1234,Melbourne Central,2013-01-08,20,Tues,Jan,not,not,none
497,Flinders Street Station Underpass,2013-01-08,21,Tues,Jan,not,not,none
1229,Melbourne Central,2013-01-08,21,Tues,Jan,not,not,none
