stn_id,date,variable,value,X5,X6,X7,X8
ASN00086071,20130526,TMAX,163,NA,NA,a,NA
ASN00086071,20130526,TMIN,111,NA,NA,a,NA
ASN00086071,20130527,TMAX,157,NA,NA,a,NA
ASN00086071,20130527,TMIN,117,NA,NA,a,NA
ASN00086071,20130527,PRCP,0,NA,NA,a,NA
ASN00086071,20130528,TMAX,183,NA,NA,a,NA
ASN00086071,20130528,TMIN,52,NA,NA,a,NA
ASN00086071,20130528,PRCP,0,NA,NA,a,NA
ASN00086071,20130529,TMAX,189,NA,NA,a,NA
ASN00086071,20130529,TMIN,72,NA,NA,a,NA
ASN00086071,20130529,PRCP,0,NA,NA,a,NA
ASN00086071,20130530,TMAX,157,NA,NA,a,NA
ASN00086071,20130530,TMIN,121,NA,NA,a,NA
ASN00086071,20130530,PRCP,12,NA,NA,a,NA
ASN00086071,20130531,TMAX,186,NA,NA,a,NA
ASN00086071,20130531,TMIN,140,NA,NA,a,NA
ASN00086071,20130531,PRCP,92,NA,NA,a,NA
ASN00086071,20130601,TMAX,163,NA,NA,a,NA
ASN00086071,20130601,TMIN,137,NA,NA,a,NA
ASN00086071,20130602,TMAX,178,NA,NA,a,NA
ASN00086071,20130602,TMIN,103,NA,NA,a,NA
ASN00086071,20130603,TMAX,158,NA,NA,a,NA
ASN00086071,20130603,TMIN,103,NA,NA,a,NA
ASN00086071,20130603,PRCP,2,NA,NA,a,NA
ASN00086071,20130604,TMAX,153,NA,NA,a,NA
ASN00086071,20130604,TMIN,118,NA,NA,a,NA
ASN00086071,20130604,PRCP,6,NA,NA,a,NA
ASN00086071,20130605,TMAX,142,NA,NA,a,NA
ASN00086071,20130605,TMIN,120,NA,NA,a,NA
ASN00086071,20130605,PRCP,0,NA,NA,a,NA
ASN00086071,20130606,TMAX,173,NA,NA,a,NA
ASN00086071,20130606,TMIN,125,NA,NA,a,NA
ASN00086071,20130606,PRCP,0,NA,NA,a,NA
ASN00086071,20130607,TMAX,159,NA,NA,a,NA
ASN00086071,20130607,TMIN,109,NA,NA,a,NA
ASN00086071,20130607,PRCP,170,NA,NA,a,NA
ASN00086071,20130608,TMAX,161,NA,NA,a,NA
ASN00086071,20130608,TMIN,49,NA,NA,a,NA
ASN00086071,20130609,TMAX,143,NA,NA,a,NA
ASN00086071,20130609,TMIN,61,NA,NA,a,NA
ASN00086071,20130610,TMAX,164,NA,NA,a,NA
ASN00086071,20130610,TMIN,68,NA,NA,a,NA
ASN00086071,20130611,TMAX,149,NA,NA,a,NA
ASN00086071,20130611,TMIN,97,NA,NA,a,NA
ASN00086071,20130611,PRCP,0,NA,NA,a,NA
ASN00086071,20130612,TMAX,135,NA,NA,a,NA
ASN00086071,20130612,TMIN,94,NA,NA,a,NA
ASN00086071,20130612,PRCP,4,NA,NA,a,NA
ASN00086071,20130613,TMAX,130,NA,NA,a,NA
ASN00086071,20130613,TMIN,108,NA,NA,a,NA
ASN00086071,20130613,PRCP,98,NA,NA,a,NA
ASN00086071,20130614,TMAX,156,NA,NA,a,NA
ASN00086071,20130614,TMIN,110,NA,NA,a,NA
ASN00086071,20130614,PRCP,102,NA,NA,a,NA
ASN00086071,20130615,TMAX,148,NA,NA,a,NA
ASN00086071,20130615,TMIN,97,NA,NA,a,NA
ASN00086071,20130616,TMAX,149,NA,NA,a,NA
ASN00086071,20130616,TMIN,93,NA,NA,a,NA
ASN00086071,20130617,TMAX,121,NA,NA,a,NA
ASN00086071,20130617,TMIN,72,NA,NA,a,NA
ASN00086071,20130617,PRCP,12,NA,NA,a,NA
ASN00086071,20130618,TMAX,159,NA,NA,a,NA
ASN00086071,20130618,TMIN,85,NA,NA,a,NA
ASN00086071,20130618,PRCP,16,NA,NA,a,NA
ASN00086071,20130619,TMAX,150,NA,NA,a,NA
